Region,City,Year,Quarter,Total
Comunidad Foral de Navarra,Navarra,2010,4,1489.0
País Vasco,Total,2010,4,2619.9
País Vasco,Araba/Álava,2010,4,2186.3
País Vasco,Gipuzkoa,2010,4,2690.3
País Vasco,Bizkaia,2010,4,2661.8
La Rioja,La Rioja,2010,4,1414.1
Ceuta,Ceuta,2010,4,1834.2
Melilla,Melilla,2010,4,1541.3
Andalucía,Total,2011,1,1511.9
Andalucía,Almería,2011,1,1357.7
Andalucía,Cádiz,2011,1,1680.0
Andalucía,Córdoba,2011,1,1302.8
Andalucía,Granada,2011,1,1279.0
Andalucía,Huelva,2011,1,1447.8
Andalucía,Jaén,2011,1,1024.9
Andalucía,Málaga,2011,1,1805.1
Andalucía,Sevilla,2011,1,1594.8
Aragón,Total,2011,1,1584.5
Aragón,Huesca,2011,1,1458.0
Aragón,Teruel,2011,1,957.2
Aragón,Zaragoza,2011,1,1687.1
Principado de Asturias,Asturias,2011,1,1537.3
Illes Balears,Illes Balears,2011,1,2014.8
Canarias,Total,2011,1,1526.0
Canarias,Las Palmas,2011,1,1531.9
Canarias,Santa Cruz de Tenerife,2011,1,1523.3000000000002
Cantabria,Cantabria,2011,1,1738.1
Castilla y León,Total,2011,1,1315.5
Castilla y León,Ávila,2011,1,1164.7
Castilla y León,Burgos,2011,1,1556.5
Castilla y León,León,2011,1,1088.8
Castilla y León,Palencia,2011,1,1164.0
Castilla y León,Salamanca,2011,1,1406.2
Castilla y León,Segovia,2011,1,1326.5
Castilla y León,Soria,2011,1,1362.8
Castilla y León,Valladolid,2011,1,1415.4
Castilla y León,Zamora,2011,1,1047.9
Castilla - La Mancha,Total,2011,1,1171.3
Castilla - La Mancha,Albacete,2011,1,1176.8
Castilla - La Mancha,Ciudad Real,2011,1,926.7
Castilla - La Mancha,Cuenca,2011,1,1008.8
Castilla - La Mancha,Guadalajara,2011,1,1522.7
Castilla - La Mancha,Toledo,2011,1,1129.6
Cataluña,Total,2011,1,2123.7
Cataluña,Barcelona,2011,1,2392.7
Cataluña,Girona,2011,1,1905.8
Cataluña,Lleida,2011,1,1204.5
Cataluña,Tarragona,2011,1,1661.2
Comunitat Valenciana,Total,2011,1,1361.6
Comunitat Valenciana,Alicante/Alacant,2011,1,1376.9
Comunitat Valenciana,Castellón/Castelló,2011,1,1407.2
Comunitat Valenciana,Valencia/València,2011,1,1330.0
Extremadura,Total,2011,1,967.6
Extremadura,Badajoz,2011,1,964.7
Extremadura,Cáceres,2011,1,978.8
Galicia,Total,2011,1,1373.1
Galicia,A Coruña,2011,1,1402.5
Galicia,Lugo,2011,1,1004.4
Galicia,Ourense,2011,1,1123.1
Galicia,Pontevedra,2011,1,1490.0
Comunidad de Madrid,Madrid,2011,1,2350.8
Región de Murcia,Murcia,2011,1,1237.0
Comunidad Foral de Navarra,Navarra,2011,1,1458.9
